number,Exponnorm_Off_peak,Exponnorm_Peak,Mean_OP,Mean_p,flow,Line,label,Off_peak_std_dev,Peak_std_dev,Off_peak_decay_rate,Peak_decay_rate
32,"(4.160314688614014, 56.407211272751425, 19.391454967548807)","(4.06855095565013, 59.08473858779617, 20.837347306971225)",137.0817662,143.8625479,807555,Line2,Med,82.97235889,87.30104233,0.012395482,0.01179554
37,"(3.408068338704476, 62.80816299928265, 28.62667681357897)","(3.072091942279207, 79.35131271036224, 26.75510610391099)",160.3698339,161.5454586,804687,Line2,Med,101.6748064,86.43907287,0.010249927,0.012166317
39,"(3.407797478135941, 52.64650762893491, 24.502630916401312)","(2.4566864503092596, 71.85933256908038, 26.885583107033717)",136.1465115,137.9087803,771666,Line2,Med,87.02085706,71.31173903,0.011976047,0.015140172
38,"(3.5686060444144307, 45.678327950769926, 21.727224220669388)","(2.4825347858152638, 69.40657697421605, 25.95178765100222)",123.2142316,133.8327926,771225,Line2,Med,80.52259703,69.45669542,0.012897251,0.015521632
35,"(3.436713001508341, 38.53672422085003, 18.80902258730263)","(3.278186773879006, 55.235049960580575, 19.77908353086523)",103.1779367,120.07458,737191,Line2,Med,67.32210395,67.78920858,0.015470007,0.01542269
34,"(3.9774962534747536, 45.12291893906462, 21.90795277938102)","(3.079923144632904, 55.303864229698945, 20.311570243461325)",132.261719,117.8619395,581332,Line2,Med,89.85059197,65.77288705,0.011475944,0.015985147
163,"(3.4771645251691687, 53.06615966664454, 26.53315378173268)","(2.5723588769674794, 76.67432671208266, 28.743186112867065)",145.3263007,150.6121167,311887,Line2,Low,95.99969729,79.32822657,0.010838917,0.013524884
162,"(3.5069232018080942, 50.790861621238854, 25.569823515394916)","(2.585977687713931, 73.95878764997745, 27.757869105849664)",140.462269,145.7400178,266375,Line2,Low,93.24578903,76.96131692,0.011151827,0.013931218
160,"(2.3248205320014765, 83.12436031353555, 39.790760306337354)","(2.2666508889773063, 96.34034476401732, 37.78491654794226)",175.6307369,181.9855594,201382,Line2,Low,100.701213,93.60984305,0.010810066,0.011676076
161,"(2.799764573206724, 58.4507101951844, 31.652933222668334)","(2.4698208468328406, 78.49354326805226, 29.428088004906)",147.0714713,151.1756485,59049,Line2,Low,94.10391849,78.41365178,0.011284038,0.013758545
9,"(2.988009973648677, 53.748929914187904, 24.114643031970168)","(3.358730454233625, 75.62128362560935, 21.68512298040806)",125.8037238,135.3860017,10575474,Line2,High,75.98295421,75.99412126,0.013878327,0.01372976
,,,,,,,,,,,
44,"(2.371661946107651,70.4702674103228, 38.98878444025436)","(2.09454681018479, 74.5609643331714, 42.869989084648)",162.9384838,164.3541632,10120380,Line3,High,100.3518627,99.5020328,0.010814527,0.011136701
14,"(2.883498391989851, 63.70412510462252, 36.00203030514683)","(3.266839998421574, 89.97475820708752, 33.09627755551739)",167.5159216,198.0950015,4571213,Line3,High,109.8773647,113.0723247,0.009632817,0.009248962
26,"(3.458695590186956, 63.68374890616688, 24.532138740253718)","(3.5690660103572736, 63.19552316583626, 24.149590839763643)",148.532949,149.387007,4142142,Line3,High,88.32447331,89.51075144,0.011785615,0.011602074
93,"(3.372498197832111, 54.42739373881956, 19.11509619854233)","(3.0669269119376485, 59.8317411126587, 25.947737991254748)",118.8930212,139.4115571,3204689,Line3,High,67.23989909,83.70323897,0.015512143,0.012566
101,"(3.8048443950716493, 56.5918143745852, 22.677996313028515)","(4.228407128077972, 53.77153978194457, 19.542743282027665)",142.8780615,136.4062148,2937935,Line3,High,89.21663503,84.91412325,0.011589332,0.012101457
98,"(3.8094492484649365, 60.170016298261274, 25.384779624087663)","(3.5784551941950573, 61.89367033927843, 26.000872580692466)",156.872046,154.9366279,2185967,Line3,High,99.97834554,96.6076463,0.010341045,0.010747724
102,"(4.21340955409848, 53.29481379656771, 21.385588987926628)","(3.769446173549038, 54.42524476412645, 21.711756102379262)",143.4010588,136.2665407,2076300,Line3,High,90.20470166,84.67229817,0.010602244,0.01109801
97,"(4.329420013782025, 54.00491574305107, 20.188954309069814)","(3.705356288337831, 53.59374302081302, 20.445734110270784)",141.4113786,129.3524725,2012183,Line3,High,89.70776791,78.46918588,0.011440802,0.013199799
92,"(3.022208363659005, 59.6267608533077, 25.195670320612983)","(3.4256931769120875, 50.915060512711975, 17.421215413658253)",135.7733264,110.5947993,1972114,Line3,Med,80.20674068,62.17049113,0.013132569,0.016756106
100,"(3.8123702997330713, 56.60629490482107, 22.611341298127336)","(3.960394934385975, 50.81921434820971, 21.468544206624145)",142.8091009,135.8431281,1650137,Line3,Med,89.119002,87.6924415,0.01160055,0.011761397
99,"(3.8361216633259687, 59.867765478185966, 24.5874823182074)","(3.719963567631598, 59.37367892529643, 24.593550740912526)",154.188339,150.8607917,1519152,Line3,Med,97.4726366,94.73507554,0.010602141,0.010930501
90,"(3.962846724678741, 56.329105251824316, 20.798929764603045)","(4.758095784348706, 46.55756693863182, 14.7948051560741)",138.7520759,116.952667,1219034,Line3,Med,85.0067149,71.93299917,0.01213254,0.014205534
96,"(3.9731659250136637, 54.45319415837936, 18.83458005393466)","(3.100428570749353, 70.46953456194413, 27.377123765092833)",129.2861058,155.3503513,1124376,Line3,Med,77.16674204,89.18665792,0.013363104,0.011781225
113,"(3.2508802313997425, 68.61349348139743, 27.04635019037226)","(2.9053606600837734, 86.33112295404302, 35.47768967926352)",156.5379386,189.4066069,1063855,Line3,Med,91.99028816,109.0101915,0.011373401,0.009701628
95,"(4.184069826425366, 37.74544366481364, 15.50246970971385)","(3.9752076434045818, 47.05272020429458, 20.111971187684865)",102.6088594,127.0019818,945720,Line3,Med,66.69024868,82.44013473,0.015417011,0.012507933
91,"(4.132301591151631, 58.49277356775996, 19.798369806913716)","(3.5827194071779385, 54.23685567935456, 18.066036349768915)",140.3056086,118.9623947,825388,Line3,Med,84.17431572,67.1995318,0.012223021,0.015449852
108,"(3.6755413333517826, 50.65848258203614, 26.29523821185864)","(3.595389005007197, 60.84724998513677, 24.372126878953274)",147.3077175,148.474527,791817,Line3,Med,100.1624389,90.95350595,0.010346693,0.011411972
105,"(3.23919566792591, 51.10653496634211, 26.49262192423413)","(3.490178410685645, 59.54426421020062, 24.145487224146486)",136.9213211,143.8163224,758966,Line3,Med,89.81111591,87.66290179,0.011653003,0.011866329
73,"(3.7489977678913204, 56.64664075436623, 19.334022151907362)","(3.278466754376088, 68.70921282362656, 25.686168666965514)",129.1298466,152.9204628,658812,Line3,Med,75.01746163,88.04154639,0.013796299,0.011874898
89,"(4.123999620506384, 55.578121347339994, 19.655397143880663)","(3.5952701354743093, 62.64861695349822, 24.502282115799815)",136.6369717,150.7409401,656761,Line3,Med,83.40786449,91.43642177,0.012336716,0.011351727
111,"(3.335193728700464, 63.9714118936197, 31.955933004963914)","(3.108296259546009, 81.35098435444843, 33.46418041641)",170.5506392,185.3675712,648797,Line3,Med,111.2668565,109.2671117,0.009382691,0.009613851
104,"(3.1550163017970596, 51.5180280042979, 26.58413781595656)","(3.3465568159378756, 65.33648508975762, 26.28784547776052)",135.3914162,153.3102535,616402,Line3,Med,87.98557625,91.81739899,0.011922733,0.011367025
112,"(3.1773243497191417, 67.36785605844966, 26.736844281014815)","(3.324248249106841, 76.89367644477377, 31.296692746234953)",152.3194824,180.9316525,579438,Line3,Med,89.05974211,108.6433773,0.011771405,0.009611875
94,"(3.464039788816272, 61.26790412083489, 22.44086489479894)","(3.0507824677005413, 59.93718448641098, 27.217947599795973)",139.003953,142.9732218,576162,Line3,Med,80.91035604,87.38306569,0.012864045,0.012042964
106,"(3.048337102236628, 46.74129934773631, 24.761255393211442)","(3.550535442587593, 59.77021295901393, 24.1047860810149)",122.2219529,145.3551103,575329,Line3,Med,79.43833346,88.91465211,0.013248428,0.011684304
109,"(3.1645789662584896, 59.632412989995714, 30.611016559326075)","(3.442265267016041, 72.20719876117712, 30.08605900062159)",156.5033921,175.7713947,513433,Line3,Med,101.5924256,107.8457863,0.010323009,0.009655847
110,"(3.338752925750179, 63.37620240214335, 31.661152521358158)","(3.529525620190447, 71.97487417244649, 29.27875252081928)",169.084968,175.3149813,486225,Line3,Low,110.3484105,107.4077422,0.009459953,0.009676785
103,"(4.232322697638825, 44.01635615509346, 19.309381220666097)","(4.0173240518576545, 40.06610136280615, 16.89596703759613)",125.7398886,107.9426761,427342,Line3,Low,83.97373371,69.94785989,0.012236378,0.014732623
107,"(3.7510925348648145, 57.2172041304559, 23.01751265902554)","(3.5261008805918074, 45.07296709314544, 23.883966849990166)",143.558024,129.2902436,271256,Line3,Low,89.35627046,87.53852604,0.011582007,0.011874048
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
11,"(2.8857978354698455, 58.49487557914957, 22.41517664039624)","(2.9492619496813925, 56.32303686482291, 25.117474386267904)",123.1805438,130.4010483,3506321,Line4,High,68.45930045,78.22045324,0.015459375,0.013499282
34,"(3.2233565998160403, 50.152224270764385, 22.69518442340724)","(3.2171277639183185, 44.040286775238215, 18.72138575330621)",123.3068968,104.2693767,581332,Line4,Med,76.59423936,63.07165412,0.013669667,0.016603273
98,"(3.6583823030637745, 39.17546278785947, 18.258271017152918)","(3.528842656445248, 35.722275255844465, 20.22589273305155)",105.9711984,107.0962683,2185967,Line4,High,69.24618944,74.18445672,0.014971016,0.014010706
114,"(3.975247000751507, 32.225283230906854, 14.55250189247939)","(3.636990725257178, 40.16741743582149, 18.57229595809629)",90.07507273,107.7146856,1962032,Line4,Med,59.65210354,70.05400496,0.017286148,0.014804448
115,"(2.4185615120528308, 76.93044756714919, 35.24045892961805)","(1.7021517538788038, 100.4222381691264, 45.02917316392663)",162.1616652,177.0687242,825669,Line4,Med,92.22933592,88.89493947,0.01173279,0.013046913
116,"(3.9170894905782774, 37.79614897976161, 18.16378874798003)","(4.138337664014669, 33.547606557068406, 15.987608273572306)",108.945335,99.70972803,929000,Line4,Med,73.43112346,68.06636421,0.014054975,0.015114388
117,"(4.095144337879261, 35.86680107692164, 17.142096988299635)","(4.267872362287601, 34.0858227827719, 19.232102253771085)",106.0661625,116.1659805,325807,Line4,Low,72.2620359,84.30317931,0.014245144,0.012183212
118,"(4.028454102225549, 37.30014384515667, 18.168485146331037)","(4.169450425994263, 38.899310381833374, 15.125217101714899)",110.4910524,101.9631533,607324,Line4,Med,75.41222011,64.85229735,0.013662899,0.015856947
119,"(3.972676983710194, 37.12392895319705, 17.93571781726014)","(4.26543700993024, 30.766948304747586, 14.497907208111265)",108.3767423,92.60685828,711326,Line4,Med,73.47552916,63.51664175,0.014034534,0.016170787
120,"(4.010994112149833, 36.462940321746444, 17.701552913761684)","(3.6429460569971153, 37.80717755126774, 16.821071565357204)",107.4637648,99.08543388,269807,Line4,Low,73.17418983,63.54504818,0.014084343,0.016319002
121,"(3.8375915281360067, 38.81199518686687, 18.76572710375913)","(3.7175816846770777, 38.13351581985042, 16.92616497958074)",110.8271905,101.0579167,468498,Line4,Low,74.42003007,65.16114864,0.013885958,0.015892086
122,"(3.770881226761645, 39.923282844403225, 19.420938961175086)","(3.6875089354373634, 39.568948080402336, 17.461257535400485)",113.157337,103.9574913,620544,Line4,Med,75.76542454,66.71416647,0.01365485,0.015530713
123,"(4.597024750401127, 29.177360753408703, 13.797473134691636)","(4.10944322558297, 33.90070121101057, 14.749078615009072)",92.60468625,94.51120241,149160,Line4,Low,64.9106762,62.37922872,0.015766075,0.016498791
124,"(3.987776944427325, 35.67796502679384, 15.718189939900666)","(4.218857565345978, 33.60823126036992, 16.354733611051394)",98.35860048,102.6065229,180424,Line4,Low,64.62138621,70.9100949,0.015953891,0.014493112
125,"(4.368951959509079, 33.13832589431898, 14.45465542427361)","(4.725774012468838, 29.978273858741872, 14.348714270225912)",96.29002103,97.78705487,106988,Line4,Low,64.78482587,69.3102906,0.015834888,0.014747353
126,"(3.2275306847488823, 51.125319665418864, 25.572092019200092)","(3.1444029227456767, 57.61504190027401, 26.442312171862667)",133.6600313,140.7603256,55565,Line4,Low,86.40550052,87.24869094,0.012116114,0.01202714
127,"(2.907212061909272, 57.69630664427662, 28.846010710420636)","(3.3000665448455972, 53.11394508855095, 25.558974725453922)",141.5577769,137.4602625,103745,Line4,Low,88.68392487,88.13377588,0.011924427,0.011855882
128,"(3.514340475625505, 47.43835193679743, 23.779607569111903)","(3.619377236858852, 46.19212715929052, 23.30802741635251)",131.0079893,130.552671,619389,Line4,Med,86.88701875,87.52122887,0.011966068,0.011853883
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
95,"(4.589671381698652, 28.758981580129905, 15.010928699138152)","(4.359135486595927, 31.65306732265197, 16.72006745010666)",97.65421144,104.5381067,945720,Line7,Med,70.51156415,74.77826969,0.014514793,0.013720237
178,"(4.581217811572368, 28.122749293706686, 14.748655940151806)","(4.546069102973435, 27.090762803938805, 14.112961040232562)",95.68955458,91.24925894,206802,Line7,Low,69.15776189,65.69237624,0.014800167,0.0155864
179,"(4.4489427126833965, 28.00451945052819, 14.613003256409545)","(4.681761062394052, 26.411102321318676, 13.758830746511801)",93.0169338,90.82666037,115136,Line7,Low,66.63447969,65.86857781,0.015381678,0.0155242
180,"(3.9363915402658254, 38.11584166232142, 17.78662531584729)","(3.5547989906731265, 44.5119205344954, 20.835367565628438)",108.1309631,118.5774641,695680,Line7,Med,72.23905639,76.9403489,0.014282629,0.013501555
181,"(3.6335849411503203, 42.298720213177404, 19.668284008255647)","(3.749910547177873, 40.12037681737787, 18.87069917327)",113.7651008,110.8838107,471596,Line7,Low,74.123444,73.23637661,0.013992593,0.014131592
182,"(3.393126962359957, 47.83792851069891, 22.07481160527037)","(3.7637546723594126, 42.04189192817087, 19.42630212083843)",122.740567,115.1577273,427134,Line7,Low,78.08778748,75.6525386,0.013350665,0.013676928
183,"(4.059748242146386, 37.78904997480997, 17.50286897871147)","(4.136729235242101, 35.963686302420314, 17.017316995963817)",108.8462915,106.359719,220948,Line7,Low,73.18115879,72.42368743,0.014073161,0.014205346
184,"(3.9029259737217172, 39.22566107535232, 18.376655534166844)","(4.26026892039965, 34.864776942004895, 16.09182488312276)",110.9483873,103.4202784,300500,Line7,Low,74.0395227,70.41877309,0.013942582,0.014586721
185,"(3.7224031261762125, 41.07976656241088, 19.282247810678548)","(4.359231722650388, 34.52885904278597, 16.409415799994022)",112.8560661,106.0613049,343219,Line7,Low,74.32120999,73.39046085,0.013932175,0.01397967
186,"(3.5647523785188495, 45.55001648749426, 21.1678987778744)","(3.8999360816078803, 39.97754920518139, 18.618748837679874)",121.008334,112.5894796,259319,Line7,Low,78.37115299,74.96099147,0.01325235,0.013771842
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"(3.969601137329966, 37.1779145986203, 18.365021283657796)","(4.220735146847767, 32.835195465557646, 14.575134732517654)",110.079724,94.3529789,219901,Line10,Low,75.17943746,63.22082118,0.013717081,0.016255462
2,"(4.080961684792502, 35.99543440114124, 17.661622361337322)","(4.046248392006051, 34.196191071755614, 15.273885280892145)",108.0718385,95.99812483,1828789,Line10,Med,74.20876592,63.66137438,0.013874166,0.016180723
3,"(3.848752752748114, 39.93340468615535, 19.35449202570056)","(3.872773849435764, 37.191032799158535, 16.747230177298675)",114.4240591,102.0492679,1557033,Line10,Med,76.96397835,66.98552363,0.013424503,0.015418243
4,"(3.7910444384408803, 40.31869667901027, 19.496018746749385)","(3.988915944654506, 35.96057093078241, 16.167741873786426)",114.2289701,100.4523343,418398,Line10,Low,76.43836254,66.48746812,0.013529919,0.015505856
5,"(2.585539426738751, 67.48594111299472, 30.664165298897025)","(2.3292711862405753, 65.6493486738233, 26.954378525505113)",146.7693495,128.4334059,1156298,Line10,Med,85.00676371,68.32551767,0.012612979,0.01592761
56,"(3.8725911874878145, 40.16727999930967, 19.383389969948333)","(3.998957524562293, 35.884463686493916, 16.161783452655783)",115.2312252,100.5147492,199307,Line10,Low,77.52619991,66.62039518,0.013321975,0.015472622
57,"(4.031078392051663, 34.40762997129228, 15.392701915538627)","(3.986716287929504, 38.17047864288341, 18.551793049609344)",96.45681806,112.1312142,242497,Line10,Low,63.92993833,76.25194702,0.016116246,0.013520688
58,"(4.177733059648535, 33.79882312349645, 14.943285422870261)","(3.8324913316298277, 39.083509242458106, 18.85927975636963)",96.22788065,111.3615354,400194,Line10,Low,64.19259306,74.69796184,0.016018182,0.013835464
59,"(4.09479723762073, 36.45630678419918, 16.35992847765199)","(3.6866577368075504, 42.29477716805249, 20.288155522925557)",103.4468967,117.0902627,499564,Line10,Low,68.95930974,77.49821875,0.01492747,0.013369791
